Company,Symbol,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
"Consolidated Communications Holdings, Inc.",CNSL,Communication Services,Integrated Telecommunication Services,"Mattoon, Illinois",view,1304421
"PC Connection, Inc.",CNXN,Information Technology,Technology Distributors,"Merrimack, New Hampshire",view,1050377
"Cohu, Inc.",COHU,Information Technology,Semiconductor Equipment,,view,21535
"Collegium Pharmaceutical, Inc.",COLL,Health Care,Pharmaceuticals,,view,1267565
"Mr. Cooper Group, Inc.",COOP,Financials,Other Diversified Financial Services,"Coppell, Texas",view,933136
Corcept Therapeutics Incorporated,CORT,Health Care,Pharmaceuticals,"Menlo Park, California",view,1088856
Callon Petroleum,CPE,Energy,Oil & Gas Exploration & Production,,view,928022
Central Pacific Financial Corp.,CPF,Financials,Regional Banks,"Honolulu, Hawaii",view,701347
Chesapeake Utilities Corp.,CPK,Utilities,Gas Utilities,"Dover, Delaware",view,19745
"Catalyst Pharmaceuticals Partners, Inc.",CPRX,Health Care,Biotechnology,"Coral Gables, Florida",view,1369568
"Computer Programs and Systems, Inc.",CPSI,Health Care,Health Care Technology,,view,1169445
California Resources Corporation,CRC,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",view,1609253
"Comstock Resources, Inc.",CRK,Energy,Oil & Gas Exploration & Production,"Frisco, Texas",view,23194
"Americas Carmart, Inc.",CRMT,Consumer Discretionary,Automotive Retail,,view,799850
"Cerence, Inc.",CRNC,Information Technology,Application Software,"Burlington, Massachusetts",view,1768267
Carpenter Technology,CRS,Materials,Steel,"Philadelphia, Pennsylvania",view,17843
Corsair Gaming,CRSR,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",view,1743759
CorVel Corporation,CRVL,Health Care,Health Care Services,"Irvine, California",view,874866
"CSG Systems International, Inc.",CSGS,Information Technology,Data Processing & Outsourced Services,"Greenwood Village, Colorado",view,1005757
Centerspace Trust,CSR,Real Estate,Residential REITs,,view,798359
"Cytek Biosciences, Inc.",CTKB,Health Care,Health Care Equipment,"Fremont, California",view,1831915
"CareTrust REIT, Inc.",CTRE,Real Estate,Health Care REITs,,view,1590717
CTS Corporation,CTS,Information Technology,Electronic Manufacturing Services,,view,26058
"Customers Bancorp, Inc.",CUBI,Financials,Regional Banks,,view,1488813
CVB Financial Corp.,CVBF,Financials,Regional Banks,,view,354647
"Cavco Industries, Inc.",CVCO,Consumer Discretionary,Homebuilding,,view,278166
"Calavo Growers, Inc.",CVGW,Consumer Staples,Packaged Foods & Meats,"Santa Paula, California",view,1133470
"CVR Energy, Inc.",CVI,Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas",view,1376139
Cushman & Wakefield plc,CWK,Real Estate,Real Estate Services,"Chicago, Illinois",view,1628369
California Water Service Group,CWT,Utilities,Water Utilities,"San Jose, California",view,1035201
CoreCivic,CXW,Industrials,Diversified Support Services,"Brentwood, Tennessee",view,1070985
"Community Health Systems, Inc.",CYH,Health Care,Health Care Facilities,"Franklin, Tennessee",view,1108109
"Cytokinetics, Incorporated",CYTK,Health Care,Biotechnology,"South San Francisco, California",view,1061983
Dana Incorporated,DAN,Consumer Discretionary,Auto Parts & Equipment,"Maumee, Ohio",view,26780
"Designer Brands, Inc.",DBI,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",view,1319947
"Dime Community Bancshares, Inc.",DCOM,Financials,Thrifts & Mortgage Finance,"Hauppauge, New York",view,846617
3D Systems Corporation,DDD,Industrials,Industrial Machinery,"Rock Hill, South Carolina",view,910638
"Easterly Government Properties, Inc.",DEA,Real Estate,Office REITs,,view,1622194
Douglas Emmett,DEI,Real Estate,Office REITs,"Santa Monica, California",view,1364250
"Donnelley Financial Solutions, Inc.",DFIN,Financials,Financial Exchanges & Data,"Chicago, Illinois",view,1669811
Digi International Inc.,DGII,Information Technology,Communications Equipment,"Hopkins, Minnesota",view,854775
"Dine Brands Global, Inc.",DIN,Consumer Discretionary,Restaurants,"Glendale, California",view,49754
Diodes Incorporated,DIOD,Information Technology,Semiconductors,"Plano, Texas",view,29002
Dish Network,DISH,Communication Services,Cable & Satellite,"Meridian, Colorado",view,1001082
Deluxe Corporation,DLX,Industrials,Commercial Printing,"Minneapolis, Minnesota",view,27996
NOW Inc,DNOW,Industrials,Trading Companies & Distributors,,view,1599617
"Dorman Products, Inc.",DORM,Consumer Discretionary,Auto Parts & Equipment,"Colmar, Pennsylvania",view,868780
DiamondRock Hospitality Company,DRH,Real Estate,Hotel & Resort REITs,,view,1298946
Dril-Quip Inc.,DRQ,Energy,Oil & Gas Equipment & Services,,view,1042893
"DoubleVerify Holdings, Inc.",DV,Information Technology,Application Software,"New York City, New York",view,1819928
Dynavax Technologies Corp.,DVAX,Health Care,Biotechnology,,view,1029142
"DXP Enterprises, Inc.",DXPE,Industrials,Trading Companies & Distributors,,view,1020710
"Dycom Industries, Inc.",DY,Industrials,Construction & Engineering,"Palm Beach Gardens, Florida",view,67215
"Brinker International, Inc.",EAT,Consumer Discretionary,Restaurants,"Dallas, Texas",view,703351
"Ebix, Inc.",EBIX,Information Technology,Application Software,,view,814549
Emergent BioSolutions,EBS,Health Care,Biotechnology,"Gaithersburg, Maryland",view,1367644
"Encore Capital Group, Inc.",ECPG,Financials,Consumer Finance,"San Diego, California",view,1084961
"Ellington Financial, Inc.",EFC,Financials,Specialized Finance,,view,1411342
Eagle Bancorp Inc,EGBN,Financials,Regional Banks,"Bethesda, Maryland",view,1050441
"8x8, Inc.",EGHT,Information Technology,Application Software,"Campbell, California",view,1023731
"Enhabit, Inc.",EHAB,Health Care,Health Care Facilities,,view,1803737
"Employers Holdings, Inc.",EIG,Financials,Property & Casualty Insurance,,view,1379041
"e.l.f. Beauty, Inc.",ELF,Consumer Staples,Personal Products,"Oakland, California",view,1600033
Embecta Corp.,EMBC,Health Care,Health Care Equipment,,view,1872789
"Ensign Group, Inc.",ENSG,Health Care,Health Care Facilities,,view,1125376
"Enanta Pharmaceuticals, Inc.",ENTA,Health Care,Biotechnology,,view,1177648
"Enova International, Inc.",ENVA,Financials,Consumer Finance,,view,1529864
Enerpac Tool Group,EPAC,Industrials,Industrial Machinery,"Menomonee Falls, Wisconsin",view,6955
Edgewell Personal Care,EPC,Consumer Staples,Household Products,"Shelton, Connecticut",view,1096752
"Essential Properties Realty Trust, Inc.",EPRT,Real Estate,Diversified REITs,,view,1728951
ESCO Technologies Inc.,ESE,Industrials,Industrial Machinery,,view,866706
"Ethan Allen Interiors, Inc.",ETD,Consumer Discretionary,Home Furnishings,"Danbury, Connecticut",view,896156
"EVERTEC, Inc.",EVTC,Information Technology,Data Processing & Outsourced Services,,view,1559865
"eXp World Holdings, Inc.",EXPI,Real Estate,Real Estate Services,"Bellingham, Washington",view,1495932
"Extreme Networks, Inc.",EXTR,Information Technology,Communications Equipment,"Morrisville, North Carolina",view,1078271
National Vision Holdings,EYE,Consumer Discretionary,Specialty Stores,,view,1710155
"EZCORP, Inc.",EZPW,Financials,Consumer Finance,"Austin, Texas",view,876523
FB Financial Corp.,FBK,Financials,Regional Banks,,view,1649749
First Bancorp (Southern Pines NC),FBNC,Financials,Regional Banks,"Southern Pines, North Carolina",view,811589
First BanCorp (Puerto Rico),FBP,Financials,Regional Banks,"San Juan, Puerto Rico",view,1057706
"Franklin BSP Realty Trust, Inc.",FBRT,Real Estate,Mortgage REITs,,view,1562528
"First Commonwealth Financial, Corp.",FCF,Financials,Regional Banks,"Indiana, Pennsylvania",view,712537
"Four Corners Property Trust, Inc.",FCPT,Real Estate,Specialized REITs,,view,1650132
"Fresh Del Monte Produce, Inc.",FDP,Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida",view,1047340
Franklin Electric,FELE,Industrials,Industrial Machinery,"Fort Wayne, Indiana",view,38725
FutureFuel Corp.,FF,Materials,Specialty Chemicals,"Clayton, Missouri",view,1337298
First Financial Bancorp.,FFBC,Financials,Regional Banks,"Cincinnati, Ohio",view,708955
"First Hawaiian, Inc.",FHB,Financials,Regional Banks,"Honolulu, Hawaii",view,36377
"Comfort Systems USA, Inc.",FIX,Industrials,Construction & Engineering,"Houston, Texas",view,1035983
National Beverage Corp.,FIZZ,Consumer Staples,Soft Drinks,"Fort Lauderdale, Florida",view,69891
"Fulgent Genetics, Inc.",FLGT,Health Care,Health Care Services,,view,1674930
Fabrinet,FN,Information Technology,Electronic Manufacturing Services,,view,1408710
"FormFactor, Inc.",FORM,Information Technology,Semiconductor Equipment,,view,1039399
"Forrester Research, Inc.",FORR,Industrials,Research & Consulting Services,"Cambridge, Massachusetts",view,1023313
Federal Signal Corporation,FSS,Industrials,Construction Machinery & Heavy Trucks,"Oak Brook, Illinois",view,277509
"Frontdoor, Inc.",FTDR,Consumer Discretionary,Specialized Consumer Services,,view,1727263
"Fortrea Holdings, Inc.",FTRE,Health Care,Biotechnology,"Durham, North Carolina",view,1965040
H.B. Fuller Company,FUL,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota",view,39368
Fulton Financial Corporation,FULT,Financials,Regional Banks,"Lancaster, Pennsylvania",view,700564
Forward Air Corp.,FWRD,Industrials,Air Freight & Logistics,,view,912728
"The Greenbrier Companies, Inc.",GBX,Industrials,Construction Machinery & Heavy Trucks,"Lake Oswego, Oregon",view,923120
Golden Entertainment,GDEN,Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada",view,1071255
Green Dot Corporation,GDOT,Financials,Consumer Finance,"Austin, Texas",view,1386278
"GEO Group, Inc.",GEO,Industrials,Environmental & Facilities Services,"Boca Raton, Florida",view,923796
"Guess, Inc.",GES,Consumer Discretionary,Apparel Retail,"Los Angeles, California",view,912463
Griffon Corporation,GFF,Industrials,Building Products,"New York City, New York",view,50725
"G-III Apparel Group, Ltd.",GIII,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",view,821002
Glaukos Corp.,GKOS,Health Care,Health Care Equipment,,view,1192448
"GMS, Inc.",GMS,Industrials,Building Products,,view,1600438
"Global Net Lease, Inc.",GNL,Real Estate,Diversified REITs,,view,1526113
"Genworth Financial, Inc.",GNW,Financials,Multi-line Insurance,"Henrico County, Virginia",view,1276520
"Gogo, Inc.",GOGO,Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado",view,1537054
"Group 1 Automotive, Inc.",GPI,Consumer Discretionary,Automotive Retail,"Houston, Texas",view,1031203
"Green Plains, Inc.",GPRE,Energy,Oil & Gas Refining & Marketing,"Omaha, Nebraska",view,1309402
"Green Brick Partners, Inc.",GRBK,Consumer Discretionary,Homebuilding,,view,1373670
Getty Realty Corp.,GTY,Real Estate,Retail REITs,,view,1052752
"Granite Construction, Inc.",GVA,Industrials,Construction & Engineering,"Watsonville, California",view,861459
"Hawaiian Holdings, Inc.",HA,Industrials,Airlines,"Honolulu, Hawaii",view,1172222
Hanmi Financial Corporation,HAFC,Financials,Regional Banks,"Los Angeles, California",view,1109242
Hain Celestial Group,HAIN,Consumer Staples,Packaged Foods & Meats,"Lake Success, New York",view,910406
"Haynes International, Inc.",HAYN,Materials,Steel,"Kokomo, Indiana",view,858655
Hanesbrands,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",view,1359841
"Warrior Met Coal, Inc.",HCC,Materials,Diversified Metals & Mining,,view,1691303
"HCI Group, Inc.",HCI,Financials,Property & Casualty Insurance,,view,1400810
"Healthcare Services Group, Inc.",HCSG,Industrials,Environmental & Facilities Services,,view,731012
Heritage Financial Corporation,HFWA,Health Care,Regional Banks,,view,1046025
"Hillenbrand, Inc.",HI,Industrials,Industrial Machinery,,view,1417398
"Hibbett Sports, Inc.",HIBB,Consumer Discretionary,Specialty Stores,"Birmingham, Alabama",view,1017480
Harmonic Inc.,HLIT,Information Technology,Communications Equipment,"San Jose, California",view,851310
"Helix Energy Solutions Group, Inc.",HLX,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,866829
Horace Mann Educators Corporation,HMN,Financials,Multi-line Insurance,"Springfield, Illinois",view,850141
HNI Corporation,HNI,Industrials,Office Services & Supplies,"Muscatine, Iowa",view,48287
"Hope Bancorp, Inc.",HOPE,Financials,Regional Banks,"Koreatown, Los Angeles",view,1128361
Anywhere Real Estate,HOUS,Real Estate,Real Estate Services,"Madison, New Jersey",view,1398987
"Helmerich & Payne, Inc.",HP,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",view,46765
Hudson Pacific Properties,HPP,Financials,Office REITs,"Los Angeles, California",view,1482512
"Harmony Biosciences Holdings, Inc.",HRMY,Health Care,Biotechnology,,view,1802665
Harsco Corp.,HSC,Industrials,Industrial Machinery,"Camp Hill, Pennsylvania",view,45876
"Heidrick & Struggles International, Inc.",HSII,Industrials,Human Resource & Employment Services,"Chicago, Illinois",view,1066605
"HealthStream, Inc.",HSTM,Health Care,Health Care Technology,,view,1095565
Hilltop Holdings Inc.,HTH,Financials,Regional Banks,"Dallas, Texas",view,1265131
"Heartland Express, Inc.",HTLD,Industrials,Trucking,,view,799233
"Hub Group, Inc.",HUBG,Industrials,Air Freight & Logistics,"Oak Brook, Illinois",view,940942
"Haverty Furniture Companies, Inc.",HVT,Consumer Discretionary,Homefurnishing Retail,"Atlanta, Georgia",view,216085
"Hawkins, Inc.",HWKN,Materials,Commodity Chemicals,,view,46250
"MarineMax, Inc.",HZO,Consumer Discretionary,Specialty Stores,,view,1057060
"Installed Building Products, Inc.",IBP,Consumer Discretionary,Homebuilding,,view,1580905
"Independent Bank Group, Inc.",IBTX,Financials,Regional Banks,,view,1564618
"Ichor Holdings, Ltd.",ICHR,Information Technology,Semiconductor Equipment,,view,1652535
"InterDigital, Inc.",IDCC,Information Technology,Communications Equipment,"Wilmington, Delaware",view,1405495
"Insteel Industries, Inc.",IIIN,Industrials,Building Products,,view,764401
"Innovative Industrial Properties, Inc.",IIPR,Real Estate,Industrial REITs,,view,1677576
Independent Bank Corp.,INDB,Financials,Regional Banks,,view,776901
"Summit Hotel Properties, Inc.",INN,Real Estate,Hotel & Resort REITs,,view,1497645
World Fuel Services Corp,INT,Energy,Oil & Gas Refining & Marketing,"Doral, Florida",view,789460
"Innoviva, Inc.",INVA,Health Care,Pharmaceuticals,,view,1080014
"Innospec, Inc.",IOSP,Materials,Specialty Chemicals,,view,1054905
"Inter Parfums, Inc.",IPAR,Consumer Staples,Personal Products,,view,822663
iRobot Corporation,IRBT,Consumer Discretionary,Household Appliances,"Bedford, Massachusetts",view,1159167
"Ironwood Pharmaceuticals, Inc.",IRWD,Health Care,Pharmaceuticals,"Boston, Massachusetts",view,1446847
Integer Holdings Corporation,ITGR,Health Care,Health Care Equipment,,view,1114483
"Itron, Inc.",ITRI,Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington",view,780571
"iTeos Therapeutics, Inc.",ITOS,Health Care,Biotechnology,,view,1808865
"Invesco Mortgage Capital, Inc.",IVR,Real Estate,Mortgage REITs,,view,1437071
Jack in the Box,JACK,Consumer Discretionary,Restaurants,"San Diego, California",view,807882
JBG Smith,JBGS,Real Estate,Office REITs,"Bethesda, Maryland",view,1689796
"John B. Sanfilippo & Son, Inc.",JBSS,Consumer Staples,Packaged Foods & Meats,,view,880117
John Bean Technologies Corporation,JBT,Industrials,Industrial Machinery,"Chicago, Illinois",view,1433660
J&J Snack Foods Corp.,JJSF,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey",view,785956
St. Joe Company,JOE,Real Estate,Real Estate Development,"Panama City Beach, Florida",view,745308
"James River Group Holdings, Ltd.",JRVR,Financials,Property & Casualty Insurance,,view,1620459
Kaiser Aluminum Corporation,KALU,Materials,Aluminum,"Franklin, Tennessee",view,811596
Kaman Corporation,KAMN,Industrials,Trading Companies & Distributors,"Bloomfield, Connecticut",view,54381
KAR Auction Services,KAR,Industrials,Diversified Support Services,,view,1395942
"Kelly Services, Inc.",KELYA,Industrials,Human Resource & Employment Services,"Troy, Michigan",view,55135
Korn/Ferry International,KFY,Industrials,Human Resource & Employment Services,"Los Angeles, California",view,56679
"Kulicke and Soffa Industries, Inc.",KLIC,Information Technology,Semiconductor Equipment,,view,56978
Kennametal,KMT,Industrials,Industrial Machinery,"Pittsburgh, Pennsylvania",view,55242
Knowles Corporation,KN,Information Technology,Electronic Components,,view,1587523
"Koppers Holdings, Inc.",KOP,Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania",view,1315257
"KKR Real Estate Finance Trust, Inc.",KREF,Financials,Mortgage REITs,,view,1631596
Kontoor Brands,KTB,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",view,1760965
"Kennedy-Wilson Holdings, Inc.",KW,Real Estate,Real Estate Services,"Beverly Hills, California",view,1408100
Quaker Chemical Corporation,KWR,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania",view,81362
LCI Industries,LCII,Consumer Discretionary,Auto Parts & Equipment,,view,763744
"Leslie's, Inc.",LESL,Consumer Discretionary,Home Improvement Retail,"Phoenix, Arizona",view,1821806
LGI Homes,LGIH,Consumer Discretionary,Homebuilding,"The Woodlands, Texas",view,1580670
"Ligand Pharmaceuticals, Inc.",LGND,Health Care,Biotechnology,"San Diego, California",view,886163
Lakeland Financial,LKFN,Financials,Diversified Banks,,view,721994
LeMaitre Vascular,LMAT,Health Care,Health Care Equipment,"Burlington, Massachusetts",view,1158895
Lindsay Corporation,LNN,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska",view,836157
Dorian LPG Ltd.,LPG,Energy,Oil & Gas Storage & Transportation,,view,1596993
"Laredo Petroleum, Inc.",LPI,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",view,1528129
"Liquidity Services, Inc.",LQDT,Industrials,Diversified Support Services,"Bethesda, Maryland",view,1235468
"Stride, Inc.",LRN,Consumer Discretionary,Education Services,"Herndon, Virginia",view,1157408
"LTC Properties, Inc.",LTC,Real Estate,Health Care REITs,,view,887905
Livent Corp.,LTHM,Materials,Diversified Chemicals,,view,1742924
Lumen Technologies,LUMN,Communication Services,Alternative Carriers,"Monroe, Louisiana",view,18926
Lexington Realty Trust,LXP,Real Estate,Diversified REITs,,view,910108
"La-Z-Boy, Inc.",LZB,Consumer Discretionary,Home Furnishings,"Monroe, Michigan",view,57131
Macerich,MAC,Real Estate,Retail REITs,"Santa Monica, California",view,912242
Matthews International Corporation,MATW,Industrials,Diversified Support Services,"Pittsburgh, Pennsylvania",view,63296
"Matson, Inc.",MATX,Industrials,Marine,"Honolulu, Hawaii",view,3453
"MasterBrand, Inc.",MBC,Industrials,Building Products,,view,1941365
Moelis & Company,MC,Financials,Investment Banking & Brokerage,"New York City, New York",view,1596967
"Monarch Casino & Resort, Inc.",MCRI,Consumer Discretionary,Casinos & Gaming,,view,907242
The Marcus Corporation,MCS,Consumer Discretionary,Movies & Entertainment,"Milwaukee, Wisconsin",view,62234
"Mister Car Wash, Inc.",MCW,Consumer Discretionary,Specialized Consumer Services,,view,1853513
Mercury General,MCY,Financials,Property & Casualty Insurance,"Los Angeles, California",view,64996
Mednax,MD,Health Care,Health Care Services,"Sunrise, Florida",view,893949
"M.D.C. Holdings, Inc.",MDC,Consumer Discretionary,Homebuilding,"Denver, Colorado",view,773141
Veradigm,MDRX,Health Care,Health Care Technology,"Chicago, Illinois",view,1124804
"Medifast, Inc.",MED,Consumer Staples,Personal Products,"Baltimore, Maryland",view,910329
"Methode Electronics, Inc.",MEI,Information Technology,Electronic Manufacturing Services,"Chicago, Illinois",view,65270
"Mercer International, Inc.",MERC,Materials,Forest Products,,view,1333274
"MGP Ingredients, Inc.",MGPI,Consumer Staples,Distillers & Vintners,,view,835011
"M/I Homes, Inc.",MHO,Consumer Discretionary,Homebuilding,,view,799292
