Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings
ASH,Ashland Global,Materials,Diversified Chemicals,"Wilmington, Delaware",reports
ATR,AptarGroup,Materials,Metal & Glass Containers,"Crystal Lake, Illinois",reports
AVNT,Avient,Materials,Specialty Chemicals,"Avon Lake, Ohio",reports
AVT,Avnet,Information Technology,Technology Distributors,"Phoenix, Arizona",reports
AXTA,Axalta,Materials,Specialty Chemicals,"Philadelphia, Pennsylvania",reports
AYI,Acuity Brands,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",reports
AZPN,Aspen Technology,Information Technology,Application Software,"Bedford, Massachusetts",reports
AZTA,Azenta,Health Care,Life Sciences Tools & Services,"Chelmsford, Massachusetts",reports
BC,Brunswick,Consumer Discretionary,Leisure Products,"Mettawa, Illinois",reports
BCO,Brink's,Industrials,Security & Alarm Services,"Richmond, Virginia",reports
BDC,Belden,Information Technology,Electronic Components,"St. Louis, Missouri",reports
BERY,Berry Global,Materials,,"Evansville, Indiana",reports
BHF,Brighthouse Financial,Financials,Life & Health Insurance,"Charlotte, North Carolina",reports
BJ,BJ's Wholesale Club,Consumer Staples,Hypermarkets & Super Centers,"Marlborough, Massachusetts",reports
BKH,Black Hills Corporation,Utilities,Multi-Utilities,"Rapid City, South Dakota",reports
BLD,TopBuild Corp.,Consumer Discretionary,Homebuilding,,reports
BLDR,Builders FirstSource,Industrials,Building Products,"Dallas, Texas",reports
BLKB,Blackbaud,Information Technology,Application Software,"Charleston, South Carolina",reports
BRBR,BellRing Brands,Consumer Staples,Packaged Foods & Meats,,reports
BRKR,Bruker,Health Care,Health Care Equipment,"Billerica, Massachusetts",reports
BRX,Brixmor Property Group,Real Estate,Retail REITs,"New York City, New York",reports
BWXT,BWX Technologies,Industrials,,"Lynchburg, Virginia",reports
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",reports
CABO,Cable One,Communication Services,Cable & Satellite,"Phoenix, Arizona",reports
CACI,CACI International,Industrials,Diversified Support Services,"Reston, Virginia",reports
CADE,Cadence Bank,Financials,Regional Banks,"Tupelo, Mississippi Houston, Texas",reports
CALX,Calix,Information Technology,Application Software,"San Jose, California",reports
CAR,Avis Budget Group,Industrials,Trucking,"Parsippany, New Jersey",reports
CASY,Casey's General Stores,Consumer Staples,Food Retail,"Ankeny, Iowa",reports
CATY,Cathay General Bancorp,Financials,Regional Banks,"Los Angeles, California",reports
CBSH,Commerce Bancshares,Financials,Regional Banks,"Kansas City, Missouri",reports
CBT,Cabot Corp,Materials,Diversified Chemicals,"Boston, Massachusetts",reports
CC,Chemours,Materials,Diversified Chemicals,"Wilmington, Delaware",reports
CCK,Crown Holdings,Materials,,"Yardley, Pennsylvania",reports
CELH,Celsius Holdings,Consumer Staples,Soft Drinks,,reports
CFR,Frost Bank,Financials,Regional Banks,"San Antonio, Texas",reports
CGNX,Cognex,Information Technology,Electronic Equipment & Instruments,"Natick, Massachusetts",reports
CHDN,Churchill Downs Inc.,Consumer Discretionary,Casinos & Gaming,"Louisville, Kentucky",reports
CHE,Chemed Corp.,Health Care,Health Care Services,"Cincinnati, Ohio",reports
CHH,Choice Hotels,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Rockville, Maryland",reports
CHRD,Chord Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas",reports
CHX,ChampionX,Energy,Oil & Gas Equipment & Services,,reports
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",reports
CLF,Cleveland-Cliffs,Materials,Steel,"Cleveland, Ohio",reports
CLH,Clean Harbors,Industrials,Environmental & Facilities Services,"Norwell, Massachusetts",reports
CMC,Commercial Metals,Materials,Steel,"Irving, Texas",reports
CNO,CNO Financial Group,Financials,Life & Health Insurance,"Carmel, Indiana",reports
CNX,CNX Resources,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",reports
CNXC,Concentrix,Information Technology,Data Processing & Outsourced Services,"Newark, California",reports
COHR,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania",reports
COKE,Coca-Cola Consolidated,Consumer Staples,Soft Drinks,"Charlotte, North Carolina",reports
COLB,Columbia Banking System,Financials,Regional Banks,"Tacoma, Washington",reports
COLM,Columbia Sportswear,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Portland, Oregon",reports
COTY,Coty,Consumer Staples,Personal Products,"New York City, New York",reports
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",reports
CR,Crane,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut",reports
CRI,Carter's,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",reports
CROX,Crocs,Consumer Discretionary,Footwear,"Broomfield, Colorado",reports
CRUS,Cirrus Logic,Information Technology,Semiconductors,"Austin, Texas",reports
CSL,Carlisle Companies,Industrials,Industrial Conglomerates,"Phoenix, Arizona",reports
CUBE,CubeSmart,Real Estate,Industrial REITs,"Malvern, Pennsylvania",reports
CUZ,Cousins Properties,Real Estate,Office REITs,"Atlanta, Georgia",reports
CVLT,CommVault Systems,Information Technology,Systems Software,"Tinton Falls, New Jersey",reports
CW,Curtiss-Wright,Industrials,Aerospace & Defense,"Davidson, North Carolina",reports
CXT,Crane NXT,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut",reports
DAR,Darling Ingredients,Consumer Staples,Agricultural Products,,reports
DBX,Dropbox,Information Technology,,"San Francisco, California",reports
DCI,Donaldson,Industrials,Industrial Machinery,"Bloomington, Minnesota",reports
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",reports
